NDB_NO,Description,Weight(g),Measure,"Vitamin K (phylloquinone)"(µg)Per Measure,
"""09002""","Acerola juice, raw",242.0,"1.0 cup",3.4,,
"""14006""","Alcoholic beverage, beer, light",29.5,"1.0 fl oz",0.0,,
"""14003""","Alcoholic beverage, beer, regular, all",29.7,"1.0 fl oz",0.0,,
"""14034""","Alcoholic beverage, creme de menthe, 72 proof",33.6,"1.0 fl oz",0.0,,
"""14010""","Alcoholic beverage, daiquiri, prepared-from-recipe",30.2,"1.0 fl oz",0.0,,
"""14037""","Alcoholic beverage, distilled, all (gin, rum, vodka, whiskey) 80 proof",27.8,"1.0 fl oz",0.0,,
"""14550""","Alcoholic beverage, distilled, all (gin, rum, vodka, whiskey) 86 proof",27.8,"1.0 fl oz",0.0,,
"""14551""","Alcoholic beverage, distilled, all (gin, rum, vodka, whiskey) 90 proof",27.8,"1.0 fl oz",0.0,,
"""14049""","Alcoholic beverage, distilled, gin, 90 proof",27.8,"1.0 fl oz",0.0,,
"""14050""","Alcoholic beverage, distilled, rum, 80 proof",27.8,"1.0 fl oz",0.0,,
"""14415""","Alcoholic beverage, liqueur, coffee with cream, 34 proof",31.1,"1.0 fl oz",0.4,,
"""14414""","Alcoholic beverage, liqueur, coffee, 53 proof",34.8,"1.0 fl oz",0.0,,
"""14017""","Alcoholic beverage, pina colada, prepared-from-recipe",31.4,"1.0 fl oz",0.0,,
"""43479""","Alcoholic beverage, rice (sake)",29.1,"1.0 fl oz",0.0,,
"""14029""","Alcoholic beverage, whiskey sour, prepared from item 14028",30.4,"1.0 fl oz",0.0,,
"""14025""","Alcoholic beverage, whiskey sour, prepared with water, whiskey and powder mix",29.4,"1.0 fl oz",0.0,,
"""43154""","Alcoholic beverage, wine, cooking",4.9,"1.0 tsp",0.0,,
"""14536""","Alcoholic beverage, wine, dessert, dry",29.5,"1.0 fl oz",0.0,,
"""14057""","Alcoholic beverage, wine, dessert, sweet",29.5,"1.0 fl oz",0.0,,
"""43155""","Alcoholic beverage, wine, light",29.5,"1.0 fl oz",0.0,,
"""14084""","Alcoholic beverage, wine, table, all",148.0,"1.0 serving 5 fl oz",0.0,,
"""14096""","Alcoholic beverage, wine, table, red",29.4,"1.0 fl oz",0.1,,
"""14106""","Alcoholic beverage, wine, table, white",29.4,"1.0 fl oz",0.1,,
"""11001""","Alfalfa seeds, sprouted, raw",33.0,"1.0 cup",10.1,,
"""20001""","Amaranth grain, uncooked",193.0,"1.0 cup",0.0,,
"""11003""","Amaranth leaves, raw",28.0,"1.0 cup",319.2,,
"""04609""","Animal fat, bacon grease",4.3,"1.0 tsp",0.0,,
"""09400""","Apple juice, canned or bottled, unsweetened, with added ascorbic acid",248.0,"1.0 cup",0.0,,
"""09016""","Apple juice, canned or bottled, unsweetened, without added ascorbic acid",248.0,"1.0 cup",0.0,,
"""09018""","Apple juice, frozen concentrate, unsweetened, diluted with 3 volume water without added ascorbic acid",239.0,"1.0 cup",0.0,,
"""09017""","Apple juice, frozen concentrate, unsweetened, undiluted, without added ascorbic acid",211.0,"1.0 can (6 fl oz)",0.0,,
"""36005""","APPLEBEE'S, chicken tenders, from kids' menu",35.0,"1.0 piece",8.8,,
"""36021""","APPLEBEE'S, coleslaw",76.0,"1.0 serving",49.5,,
"""36022""","APPLEBEE'S, crunchy onion rings",350.0,"1.0 serving",143.8,,
"""36001""","APPLEBEE'S, Double Crunch Shrimp",206.0,"1.0 serving",59.9,,
"""36002""","APPLEBEE'S, french fries",164.0,"1.0 serving",54.8,,
"""36004""","APPLEBEE'S, mozzarella sticks",32.0,"1.0 piece",7.1,,
"""09008""","Apples, canned, sweetened, sliced, drained, heated",204.0,"1.0 cup slices",1.2,,
"""09007""","Apples, canned, sweetened, sliced, drained, unheated",204.0,"1.0 cup slices",1.2,,
"""09009""","Apples, dehydrated (low moisture), sulfured, uncooked",60.0,"1.0 cup",2.6,,
"""09012""","Apples, dried, sulfured, stewed, without added sugar",255.0,"1.0 cup",1.8,,
"""09011""","Apples, dried, sulfured, uncooked",86.0,"1.0 cup",2.6,,
"""09504""","Apples, raw, fuji, with skin",109.0,"1.0 cup, sliced",1.1,,
"""09503""","Apples, raw, gala, with skin",109.0,"1.0 cup, sliced",1.4,,
"""09501""","Apples, raw, golden delicious, with skin",109.0,"1.0 cup, sliced",2.0,,
"""09502""","Apples, raw, granny smith, with skin",109.0,"1.0 cup, sliced",3.5,,
"""09500""","Apples, raw, red delicious, with skin",109.0,"1.0 cup, sliced",2.8,,
"""09003""","Apples, raw, with skin",125.0,"1.0 cup, quartered or chopped",2.8,,
"""09004""","Apples, raw, without skin",110.0,"1.0 cup slices",0.7,,
"""09005""","Apples, raw, without skin, cooked, boiled",171.0,"1.0 cup slices",1.0,,
"""09006""","Apples, raw, without skin, cooked, microwave",170.0,"1.0 cup slices",1.2,,
"""09020""","Applesauce, canned, sweetened, without salt (includes USDA commodity)",246.0,"1.0 cup",1.5,,
"""09401""","Applesauce, canned, unsweetened, with added ascorbic acid",244.0,"1.0 cup",1.2,,
"""09019""","Applesauce, canned, unsweetened, without added ascorbic acid (includes USDA commodity)",244.0,"1.0 cup",1.2,,
"""09036""","Apricot nectar, canned, without added ascorbic acid",251.0,"1.0 cup",3.0,,
"""09027""","Apricots, canned, heavy syrup pack, with skin, solids and liquids",258.0,"1.0 cup, halves",5.7,,
"""09357""","Apricots, canned, heavy syrup, drained",219.0,"1.0 cup, halves",7.2,,
"""09024""","Apricots, canned, juice pack, with skin, solids and liquids",244.0,"1.0 cup, halves",5.4,,
"""09026""","Apricots, canned, light syrup pack, with skin, solids and liquids",253.0,"1.0 cup, halves",5.6,,
"""09022""","Apricots, canned, water pack, with skin, solids and liquids",243.0,"1.0 cup, halves",5.3,,
"""09033""","Apricots, dried, sulfured, stewed, without added sugar",250.0,"1.0 cup, halves",2.8,,
"""09032""","Apricots, dried, sulfured, uncooked",130.0,"1.0 cup, halves",4.0,,
"""09021""","Apricots, raw",155.0,"1.0 cup, halves",5.1,,
"""11702""","Artichokes, (globe or french), cooked, boiled, drained, with salt",120.0,"1.0 artichoke, medium",17.8,,
"""11008""","Artichokes, (globe or french), cooked, boiled, drained, without salt",120.0,"1.0 artichoke, medium",17.8,,
"""11703""","Artichokes, (globe or french), frozen, cooked, boiled, drained, with salt",168.0,"1.0 cup",21.2,,
"""11010""","Artichokes, (globe or french), frozen, cooked, boiled, drained, without salt",168.0,"1.0 cup",21.2,,
"""11007""","Artichokes, (globe or french), raw",128.0,"1.0 artichoke, medium",18.9,,
"""11959""","Arugula, raw",2.0,"1.0 leaf",2.2,,
"""11015""","Asparagus, canned, drained solids",242.0,"1.0 cup",99.9,,
"""11707""","Asparagus, canned, no salt added, solids and liquids",122.0,"0.5 cup",47.6,,
"""11012""","Asparagus, cooked, boiled, drained",90.0,"0.5 cup",45.5,,
"""11705""","Asparagus, cooked, boiled, drained, with salt",90.0,"0.5 cup",45.5,,
"""11709""","Asparagus, frozen, cooked, boiled, drained, with salt",180.0,"1.0 cup",144.0,,
"""11019""","Asparagus, frozen, cooked, boiled, drained, without salt",180.0,"1.0 cup",144.0,,
"""11011""","Asparagus, raw",134.0,"1.0 cup",55.7,,
"""09037""","Avocados, raw, all commercial varieties",150.0,"1.0 cup, cubes",31.5,,
"""09038""","Avocados, raw, California",230.0,"1.0 cup, pureed",48.3,,
"""03964""","Baby food, fortified cereal bar, fruit filling",19.0,"1.0 bar",0.8,,
"""42150""","Babyfood, apple yogurt dessert, strained",15.0,"1.0 tbsp",0.0,,
"""03167""","Babyfood, apple-banana juice",31.2,"1.0 fl oz",0.0,,
"""03169""","Babyfood, apple-cranberry juice",31.2,"1.0 fl oz",0.7,,
"""03289""","Babyfood, apples with ham, strained",15.0,"1.0 tbsp",0.1,,
"""03115""","Babyfood, apples, dices, toddler",28.35,"1.0 oz",0.2,,
"""03997""","Babyfood, Baby MUM MUM Rice Biscuits",8.0,"4.0 biscuit",0.0,,
"""42284""","Babyfood, baked product, finger snacks cereal",1.7,"1.0 cookie",0.3,,
"""43550""","Babyfood, banana apple dessert, strained",15.0,"1.0 tbsp",0.0,,
"""42119""","Babyfood, banana juice with low fat yogurt",31.5,"1.0 fl oz",0.1,,
"""43546""","Babyfood, banana no tapioca, strained",15.0,"1.0 tbsp",0.1,,
"""03995""","Babyfood, banana with mixed berries, strained",99.0,"1.0 packet",6.2,,
"""03301""","Babyfood, beverage, GERBER GRADUATE FRUIT SPLASHERS",113.0,"4.0 oz",0.2,,
"""03290""","Babyfood, carrots and beef, strained",15.0,"1.0 tbsp",1.1,,
"""42316""","Babyfood, carrots, toddler",28.35,"1.0 oz",2.2,,
"""03181""","Babyfood, cereal, barley, dry",2.4,"1.0 tbsp",0.1,,
"""03681""","Babyfood, cereal, barley, prepared with whole milk",28.35,"1.0 oz",0.1,,
"""42285""","Babyfood, cereal, brown rice, dry, instant",3.7,"1.0 tbsp",0.1,,
"""03185""","Babyfood, cereal, mixed, dry",2.5,"1.0 tbsp",0.0,,
"""03685""","Babyfood, cereal, mixed, prepared with whole milk",28.35,"1.0 oz",0.1,,
"""03188""","Babyfood, cereal, mixed, with applesauce and bananas, junior",28.35,"1.0 oz",0.1,,
"""03187""","Babyfood, cereal, mixed, with applesauce and bananas, strained",28.35,"1.0 oz",0.1,,
"""03186""","Babyfood, cereal, mixed, with bananas, dry",2.5,"1.0 tbsp",0.1,,
"""03686""","Babyfood, cereal, mixed, with bananas, prepared with whole milk",28.35,"1.0 oz",0.1,,
"""03189""","Babyfood, cereal, oatmeal, dry",3.2,"1.0 tbsp",0.1,,
"""03192""","Babyfood, cereal, oatmeal, with applesauce and bananas, junior",28.35,"1.0 oz",0.2,,
"""03191""","Babyfood, cereal, oatmeal, with applesauce and bananas, strained",28.35,"1.0 oz",0.6,,
"""03190""","Babyfood, cereal, oatmeal, with bananas, dry",2.5,"1.0 tbsp",0.1,,
"""03690""","Babyfood, cereal, oatmeal, with bananas, prepared with whole milk",28.35,"1.0 oz",0.1,,
"""43544""","Babyfood, cereal, rice with pears and apple, dry, instant",15.0,"1.0 serving",0.0,,
"""03194""","Babyfood, cereal, rice, dry",2.5,"1.0 tbsp",0.0,,
"""03694""","Babyfood, cereal, rice, prepared with whole milk",28.35,"1.0 oz",0.1,,
"""03195""","Babyfood, cereal, rice, with applesauce and bananas, strained",16.0,"1.0 tbsp",0.0,,
"""03212""","Babyfood, cereal, rice, with bananas, dry",2.5,"1.0 tbsp",0.1,,
"""03712""","Babyfood, cereal, rice, with bananas, prepared with whole milk",28.35,"1.0 oz",0.1,,
"""03210""","Babyfood, cereal, rice, with mixed fruit, junior",15.0,"1.0 tbsp",0.0,,
"""03184""","Babyfood, cereal, whole wheat, with apples, dry",15.0,"0.5 oz",1.2,,
"""03222""","Babyfood, cherry cobbler, junior",28.35,"1.0 oz",0.1,,
"""03206""","Babyfood, cookie, baby, fruit",8.0,"1.0 cookie",0.3,,
"""03213""","Babyfood, cookies",28.35,"1.0 oz",0.3,,
"""03214""","Babyfood, cookies, arrowroot",28.35,"1.0 oz",0.1,,
"""03934""","Babyfood, corn and sweet potatoes, strained",28.35,"1.0 oz",0.2,,
"""03209""","Babyfood, crackers, vegetable",0.7,"1.0 cracker",0.0,,
"""43004""","Babyfood, dessert, banana pudding, strained",15.0,"1.0 tbsp",0.0,,
"""43539""","Babyfood, dessert, banana yogurt, strained",15.0,"1.0 tbsp",0.0,,
"""43537""","Babyfood, dessert, blueberry yogurt, strained",15.0,"1.0 tbsp",2.0,,
"""03225""","Babyfood, dessert, cherry vanilla pudding, junior",28.35,"1.0 oz",0.1,,
"""03224""","Babyfood, dessert, cherry vanilla pudding, strained",28.35,"1.0 oz",0.1,,
"""03246""","Babyfood, dessert, custard pudding, vanilla, junior",229.0,"1.0 cup",0.0,,
"""03245""","Babyfood, dessert, custard pudding, vanilla, strained",229.0,"1.0 cup",0.0,,
"""03221""","Babyfood, dessert, dutch apple, junior",28.35,"1.0 oz",0.1,,
"""03220""","Babyfood, dessert, dutch apple, strained",28.35,"1.0 oz",0.1,,
"""03236""","Babyfood, dessert, fruit dessert, without ascorbic acid, junior",15.0,"1.0 tbsp",0.2,,
"""03235""","Babyfood, dessert, fruit dessert, without ascorbic acid, strained",15.0,"1.0 tbsp",0.2,,
"""03233""","Babyfood, dessert, fruit pudding, pineapple, strained",15.0,"1.0 tbsp",0.0,,
"""03228""","Babyfood, dessert, peach cobbler, junior",15.0,"1.0 tbsp",0.2,,
"""03227""","Babyfood, dessert, peach cobbler, strained",15.0,"1.0 tbsp",0.2,,
"""43536""","Babyfood, dessert, peach yogurt",15.0,"1.0 tbsp",0.0,,
"""03297""","Babyfood, dinner, apples and chicken, strained",28.35,"1.0 oz",0.2,,
"""03287""","Babyfood, dinner, beef noodle, junior",16.0,"1.0 tbsp",0.7,,
"""03047""","Babyfood, dinner, beef noodle, strained",16.0,"1.0 tbsp",0.3,,
"""03052""","Babyfood, dinner, beef stew, toddler",28.35,"1.0 oz",0.7,,
"""03055""","Babyfood, dinner, beef with vegetables",113.0,"1.0 jar Beech-Nut Stage 2 (4 oz)",13.1,,
"""03298""","Babyfood, dinner, broccoli and chicken, junior",29.0,"1.0 tbsp",21.3,,
"""43373""","Babyfood, dinner, chicken and noodle with vegetables, toddler",16.0,"1.0 tbsp",0.5,,
"""43008""","Babyfood, dinner, chicken and rice",16.0,"1.0 tbsp",0.3,,
"""03069""","Babyfood, dinner, chicken noodle, junior",16.0,"1.0 tbsp",0.3,,
"""03068""","Babyfood, dinner, chicken noodle, strained",16.0,"1.0 tbsp",0.3,,
"""03070""","Babyfood, dinner, chicken soup, strained",113.0,"1.0 jar Beech-Nut Stage 2 (4 oz)",7.8,,
"""03072""","Babyfood, dinner, chicken stew, toddler",16.0,"1.0 tbsp",0.6,,
"""03090""","Babyfood, dinner, macaroni and cheese, junior",28.35,"1.0 oz",0.1,,
"""03089""","Babyfood, dinner, macaroni and cheese, strained",28.35,"1.0 oz",0.1,,
"""03045""","Babyfood, dinner, macaroni and tomato and beef, junior",16.0,"1.0 tbsp",1.1,,
"""03044""","Babyfood, dinner, macaroni and tomato and beef, strained",16.0,"1.0 tbsp",4.7,,
"""43432""","Babyfood, dinner, macaroni, beef and tomato sauce, toddler",16.0,"1.0 tbsp",0.1,,
"""03077""","Babyfood, dinner, pasta with vegetables",113.0,"1.0 jar, Gerber (4 oz)",2.4,,
"""03304""","Babyfood, dinner, potatoes with cheese and ham, toddler",28.35,"1.0 oz",0.4,,
"""03050""","Babyfood, dinner, spaghetti and tomato and meat, junior",16.0,"1.0 tbsp",0.1,,
"""03303""","Babyfood, dinner, sweet potatoes and chicken, strained",16.0,"1.0 tbsp",0.2,,
"""03083""","Babyfood, dinner, turkey and rice, junior",16.0,"1.0 tbsp",0.5,,
"""03082""","Babyfood, dinner, turkey and rice, strained",16.0,"1.0 tbsp",0.2,,
"""03296""","Babyfood, dinner, turkey, rice, and vegetables, toddler",28.35,"1.0 oz",1.1,,
"""03059""","Babyfood, dinner, vegetables and bacon, strained",256.0,"1.0 cup",23.3,,
"""03054""","Babyfood, dinner, vegetables and beef, junior",256.0,"1.0 cup",13.3,,
"""03053""","Babyfood, dinner, vegetables and beef, strained",256.0,"1.0 cup",13.3,,
"""03274""","Babyfood, dinner, vegetables and chicken, junior",256.0,"1.0 cup",5.4,,
"""03062""","Babyfood, dinner, vegetables and ham, junior",256.0,"1.0 cup",6.9,,
"""03061""","Babyfood, dinner, vegetables and ham, strained",256.0,"1.0 cup",6.9,,
"""03066""","Babyfood, dinner, vegetables and lamb, strained",256.0,"1.0 cup",5.9,,
"""03085""","Babyfood, dinner, vegetables and turkey, junior",256.0,"1.0 cup",12.3,,
"""03084""","Babyfood, dinner, vegetables and turkey, strained",256.0,"1.0 cup",10.0,,
"""03073""","Babyfood, dinner, vegetables chicken, strained",256.0,"1.0 cup",8.7,,
"""03154""","Babyfood, fruit and vegetable, apple and sweet potato",113.0,"1.0 jar, Gerber (4 oz)",0.9,,
"""03140""","Babyfood, fruit dessert, mango with tapioca",15.0,"1.0 tbsp",0.4,,
"""43585""","Babyfood, fruit supreme dessert",15.0,"1.0 tbsp",0.8,,
"""03165""","Babyfood, fruit, apple and blueberry, junior",28.35,"1.0 oz",2.5,,
"""03164""","Babyfood, fruit, apple and blueberry, strained",28.35,"1.0 oz",1.0,,
"""03153""","Babyfood, fruit, apple and raspberry, junior",28.35,"1.0 oz",0.2,,
"""03152""","Babyfood, fruit, apple and raspberry, strained",28.35,"1.0 oz",0.2,,
"""03143""","Babyfood, fruit, applesauce and apricots, junior",16.0,"1.0 tbsp",0.1,,
"""03142""","Babyfood, fruit, applesauce and apricots, strained",16.0,"1.0 tbsp",0.2,,
"""03145""","Babyfood, fruit, applesauce and cherries, junior",28.35,"1.0 oz",0.3,,
"""03144""","Babyfood, fruit, applesauce and cherries, strained",28.35,"1.0 oz",0.6,,
"""03147""","Babyfood, fruit, applesauce with banana, junior",16.0,"1.0 tbsp",0.0,,
"""03117""","Babyfood, fruit, applesauce, junior",16.0,"1.0 tbsp",0.0,,
"""03116""","Babyfood, fruit, applesauce, strained",16.0,"1.0 tbsp",0.1,,
"""03128""","Babyfood, fruit, apricot with tapioca, junior",15.0,"1.0 tbsp",0.1,,
"""03118""","Babyfood, fruit, apricot with tapioca, strained",15.0,"1.0 tbsp",0.1,,
"""03994""","Babyfood, fruit, banana and strawberry, junior",140.0,"1.0 bottle",0.8,,
"""03156""","Babyfood, fruit, bananas and pineapple with tapioca, junior",15.0,"1.0 tbsp",0.1,,
"""03157""","Babyfood, fruit, bananas and pineapple with tapioca, strained",15.0,"1.0 tbsp",0.1,,
"""03163""","Babyfood, fruit, bananas with apples and pears, strained",15.0,"1.0 tbsp",0.1,,
"""03280""","Babyfood, fruit, bananas with tapioca, junior",15.0,"1.0 tbsp",0.0,,
"""03129""","Babyfood, fruit, bananas with tapioca, strained",15.0,"1.0 tbsp",0.0,,
"""03131""","Babyfood, fruit, peaches, junior",17.0,"1.0 tbsp",1.1,,
"""03130""","Babyfood, fruit, peaches, strained",17.0,"1.0 tbsp",1.1,,
"""03159""","Babyfood, fruit, pears and pineapple, junior",16.0,"1.0 tbsp",0.5,,
"""03158""","Babyfood, fruit, pears and pineapple, strained",16.0,"1.0 tbsp",0.3,,
"""03133""","Babyfood, fruit, pears, junior",16.0,"1.0 tbsp",0.5,,
"""03132""","Babyfood, fruit, pears, strained",16.0,"1.0 tbsp",0.5,,
"""03135""","Babyfood, fruit, plums with tapioca, without ascorbic acid, junior",15.0,"1.0 tbsp",0.5,,
"""03134""","Babyfood, fruit, plums with tapioca, without ascorbic acid, strained",15.0,"1.0 tbsp",0.5,,
"""03137""","Babyfood, fruit, prunes with tapioca, without ascorbic acid, junior",28.35,"1.0 oz",4.5,,
"""03136""","Babyfood, fruit, prunes with tapioca, without ascorbic acid, strained",15.0,"1.0 tbsp",2.3,,
"""43007""","Babyfood, fruit, tutti frutti, junior",15.0,"1.0 tbsp",0.1,,
"""43006""","Babyfood, fruit, tutti frutti, strained",15.0,"1.0 tbsp",0.1,,
"""42286""","Babyfood, green beans and turkey, strained",14.0,"1.0 tbsp",2.1,,
"""03093""","Babyfood, green beans, dices, toddler",28.35,"1.0 oz",3.1,,
"""03001""","Babyfood, juice treats, fruit medley, toddler",28.0,"1.0 packet",0.0,,
"""03166""","Babyfood, juice, apple",31.7,"1.0 fl oz",0.0,,
"""43535""","Babyfood, juice, apple - cherry",31.2,"1.0 fl oz",0.1,,
"""03268""","Babyfood, juice, apple and cherry",31.2,"1.0 fl oz",0.1,,
"""03265""","Babyfood, juice, apple and grape",31.2,"1.0 fl oz",0.0,,
"""03168""","Babyfood, juice, apple and peach",31.2,"1.0 fl oz",0.2,,
"""03170""","Babyfood, juice, apple and plum",31.2,"1.0 fl oz",0.2,,
"""03171""","Babyfood, juice, apple and prune",31.2,"1.0 fl oz",0.4,,
"""42266""","Babyfood, juice, apple-sweet potato",30.8,"1.0 fl oz",0.2,,
"""03269""","Babyfood, juice, apple, with calcium",189.0,"1.0 serving",0.0,,
"""03267""","Babyfood, juice, fruit punch, with calcium",31.2,"1.0 fl oz",0.0,,
"""03179""","Babyfood, juice, mixed fruit",31.2,"1.0 fl oz",0.3,,
"""03172""","Babyfood, juice, orange",31.2,"1.0 fl oz",0.0,,
"""03174""","Babyfood, juice, orange and apple and banana",31.2,"1.0 fl oz",0.0,,
"""42267""","Babyfood, juice, orange-carrot",30.8,"1.0 fl oz",0.5,,
"""43408""","Babyfood, juice, pear",31.2,"1.0 fl oz",1.1,,
"""03048""","Babyfood, macaroni and cheese, toddler",113.0,"1.0 container",0.2,,
"""03959""","Babyfood, mashed cheddar potatoes and broccoli, toddlers",170.0,"1.0 container",13.8,,
"""43417""","Babyfood, meat, beef with vegetables, toddler",179.0,"1.0 jar NFS",5.7,,
"""03003""","Babyfood, meat, beef, junior",28.35,"1.0 oz",0.2,,
"""03002""","Babyfood, meat, beef, strained",14.7,"1.0 tbsp",0.1,,
"""03014""","Babyfood, meat, chicken sticks, junior",10.0,"1.0 stick",0.0,,
"""03013""","Babyfood, meat, chicken, junior",15.0,"1.0 tbsp",0.3,,
"""03012""","Babyfood, meat, chicken, strained",15.0,"1.0 tbsp",0.2,,
"""03009""","Babyfood, meat, ham, junior",28.35,"1.0 oz",0.0,,
"""03008""","Babyfood, meat, ham, strained",15.0,"1.0 tbsp",0.0,,
"""03010""","Babyfood, meat, lamb, strained",22.0,"1.0 tbsp",0.1,,
"""03021""","Babyfood, meat, meat sticks, junior",10.0,"1.0 stick",0.0,,
"""03017""","Babyfood, meat, turkey sticks, junior",10.0,"1.0 stick",0.0,,
"""03016""","Babyfood, meat, turkey, junior",19.0,"1.0 tbsp",0.0,,
"""03015""","Babyfood, meat, turkey, strained",15.0,"1.0 tbsp",0.0,,
"""03005""","Babyfood, meat, veal, strained",16.0,"1.0 tbsp",0.0,,
"""42120""","Babyfood, mixed fruit juice with low fat yogurt",31.5,"1.0 fl oz",0.1,,
"""43523""","Babyfood, mixed fruit yogurt, strained",15.0,"1.0 tbsp",0.1,,
"""03996""","Babyfood, Multigrain whole grain cereal, dry",16.0,"3.0 tbsp",1.1,,
"""03205""","Babyfood, oatmeal cereal with fruit, dry, instant, toddler",5.3,"1.0 tbsp",0.4,,
"""03161""","Babyfood, peaches, dices, toddler",28.35,"1.0 oz",0.8,,
"""03141""","Babyfood, pears, dices, toddler",28.35,"1.0 oz",1.1,,
"""42279""","Babyfood, peas and brown rice",230.0,"1.0 cup",29.0,,
"""03122""","Babyfood, peas, dices, toddler",28.35,"1.0 oz",5.1,,
"""03293""","Babyfood, plums, bananas and rice, strained",28.35,"1.0 oz",1.6,,
"""03112""","Babyfood, potatoes, toddler",163.0,"1.0 cup",0.3,,
"""03215""","Babyfood, pretzels",28.35,"1.0 oz",0.1,,
"""03139""","Babyfood, prunes, without vitamin c, strained",15.0,"1.0 tbsp",3.3,,
"""03046""","Babyfood, ravioli, cheese filled, with tomato sauce",16.0,"1.0 tbsp",1.5,,
"""43529""","Babyfood, rice and apples, dry",2.5,"1.0 tbsp",0.0,,
"""03019""","Babyfood, snack, GERBER GRADUATE FRUIT  STRIPS, Real Fruit Bars",9.9,"1.0 bar",0.2,,
"""03302""","Babyfood, snack, GERBER GRADUATE YOGURT MELTS",7.0,"1.0 serving",0.9,,
"""03998""","Babyfood, Snack, GERBER, GRADUATES, LIL CRUNCHIES, baked whole grain corn snack",7.0,"18.0 piece",0.7,,
"""03216""","Babyfood, teething biscuits",28.35,"1.0 oz",0.1,,
"""42278""","Babyfood, vegetable and brown rice, strained",230.0,"1.0 cup",30.8,,
"""03114""","Babyfood, vegetable, butternut squash and corn",113.0,"1.0 jar, Gerber (4 oz)",2.7,,
"""03096""","Babyfood, vegetable, green beans and potatoes",113.0,"1.0 jar, Gerber (4 oz)",1.6,,
"""03098""","Babyfood, vegetables, beets, strained",224.0,"1.0 cup",0.4,,
"""03100""","Babyfood, vegetables, carrots, junior",224.0,"1.0 cup",28.0,,
"""03099""","Babyfood, vegetables, carrots, strained",224.0,"1.0 cup",32.3,,
"""03120""","Babyfood, vegetables, corn, creamed, junior",240.0,"1.0 cup",0.0,,
"""03119""","Babyfood, vegetables, corn, creamed, strained",113.0,"1.0 jar",0.0,,
"""03283""","Babyfood, vegetables, garden vegetable, strained",28.35,"1.0 oz",6.9,,
"""03092""","Babyfood, vegetables, green beans, junior",240.0,"1.0 cup",26.6,,
"""03091""","Babyfood, vegetables, green beans, strained",240.0,"1.0 cup",101.8,,
"""03282""","Babyfood, vegetables, mix vegetables junior",99.0,"1.0 serving 3.5 oz serving",7.3,,
"""03286""","Babyfood, vegetables, mix vegetables strained",28.35,"1.0 oz",2.0,,
"""03121""","Babyfood, vegetables, peas, strained",16.0,"1.0 tbsp",2.5,,
"""03127""","Babyfood, vegetables, spinach, creamed, strained",240.0,"1.0 cup",472.1,,
"""03105""","Babyfood, vegetables, squash, junior",16.0,"1.0 tbsp",0.8,,
"""03104""","Babyfood, vegetables, squash, strained",16.0,"1.0 tbsp",0.8,,
"""03108""","Babyfood, vegetables, sweet potatoes strained",224.0,"1.0 cup",3.1,,
"""03109""","Babyfood, vegetables, sweet potatoes, junior",224.0,"1.0 cup",3.4,,
"""03956""","Babyfood, yogurt, whole milk, with fruit, multigrain cereal and added DHA",31.0,"1.0 oz",0.1,,
"""03965""","Babyfood, yogurt, whole milk, with fruit, multigrain cereal and added iron",16.0,"1.0 tbsp",0.1,,
"""07921""","Bacon and beef sticks",28.0,"1.0 oz",0.4,,
"""43212""","Bacon bits, meatless",7.0,"1.0 tbsp",0.0,,
"""16104""","Bacon, meatless",144.0,"1.0 cup",0.0,,
"""10994""","Bacon, pre-sliced, reduced/low sodium, unprepared",26.0,"1.0 slice",0.0,,
"""18968""","Bagel, wheat",98.0,"1.0 bagel",1.5,,
"""18005""","Bagels, cinnamon-raisin",26.0,"1.0 mini bagel (2-1/2"" dia)",0.2,,
"""18006""","Bagels, cinnamon-raisin, toasted",24.0,"1.0 mini bagel (2-1/2"" dia)",0.2,,
"""18007""","Bagels, oat bran",26.0,"1.0 mini bagel (2-1/2"" dia)",0.1,,
"""18001""","Bagels, plain, enriched, with calcium propionate (includes onion, poppy, sesame)",99.0,"1.0 bagel",0.2,,
"""18002""","Bagels, plain, toasted, enriched, with calcium propionate (includes onion, poppy, sesame)",24.0,"1.0 mini bagel (2-1/2"" dia)",0.2,,
"""19124""","Baking chocolate, mexican, squares",20.0,"1.0 tablet",0.4,,
"""19078""","Baking chocolate, unsweetened, squares",29.0,"1.0 oz square Bakers",2.8,,
"""11710""","Balsam-pear (bitter gourd), leafy tips, cooked, boiled, drained, with salt",58.0,"1.0 cup",94.6,,
"""11023""","Balsam-pear (bitter gourd), leafy tips, cooked, boiled, drained, without salt",58.0,"1.0 cup",94.6,,
"""11711""","Balsam-pear (bitter gourd), pods, cooked, boiled, drained, with salt",124.0,"1.0 cup (1/2"" pieces)",6.0,,
"""11025""","Balsam-pear (bitter gourd), pods, cooked, boiled, drained, without salt",124.0,"1.0 cup (1/2"" pieces)",6.0,,
"""11028""","Bamboo shoots, canned, drained solids",131.0,"1.0 cup (1/8"" slices)",0.0,,
"""11026""","Bamboo shoots, raw",151.0,"1.0 cup (1/2"" slices)",0.0,,
"""09041""","Bananas, dehydrated, or banana powder",100.0,"1.0 cup",2.0,,
"""09040""","Bananas, raw",225.0,"1.0 cup, mashed",1.1,,
"""20130""","Barley flour or meal",148.0,"1.0 cup",3.3,,
"""20131""","Barley malt flour",162.0,"1.0 cup",3.6,,
"""20004""","Barley, hulled",184.0,"1.0 cup",4.0,,
